title,adult,id,original_language,popularity,release_date,vote_count,vote_average,primary_genre
Can't Buy My Love,False,445126,en,21.36,2017-03-04,74,6.0,Romance
Stalked by My Doctor: The Return,False,414610,en,21.359,2016-09-05,100,6.1,Thriller
Ice Twisters,False,34559,en,21.357,2009-11-14,79,6.0,Action
Batman Unlimited: Monster Mayhem,False,342917,en,21.356,2015-08-18,142,6.225,Action
NYAD,False,895549,en,21.353,2023-10-18,433,7.1,Drama
Coffy,False,22021,en,21.353,1973-06-13,242,6.64,Action
Tommy Boy,False,11381,en,21.351,1995-03-31,936,6.8,Comedy
Cabin Fever 2: Spring Fever,False,28739,en,21.35,2009-08-11,368,4.5,Horror
Raising Arizona,False,378,en,21.35,1987-03-13,2066,7.1,Comedy
Barabbas,False,24248,en,21.349,1961-12-23,152,6.8,History
High Heat,False,1015963,en,21.347,2022-12-16,139,5.6,Action
You've Got This,False,746957,es,21.346,2020-10-02,283,7.908,Romance
The Assignment,False,399173,en,21.345,2016-06-08,504,5.5,Action
War Machine,False,354287,en,21.343,2017-05-26,1126,5.608,Comedy
"God, Sex and Truth",False,501190,en,21.342,2018-01-27,24,6.5,Romance
The Girl Who Kicked the Hornet's Nest,False,33613,sv,21.342,2009-11-27,1330,7.1,Action
Ninja,False,25602,en,21.341,2010-03-15,334,6.1,Action
The Bad Seed,False,42196,en,21.339,1956-09-12,238,7.109,Thriller
A Man Escaped,False,15244,fr,21.336,1956-11-11,525,7.951,Drama
In Her Shoes,False,11931,en,21.336,2005-10-07,1180,6.2,Comedy
Girls on Top 2,False,11179,de,21.335,2004-06-17,57,4.93,Comedy
maboroshi,False,845387,ja,21.331,2023-09-15,92,7.3,Animation
Masterminds,False,213681,en,21.327,2016-09-29,1715,5.7,Action
Rumble Fish,False,232,en,21.325,1983-10-09,665,7.0,Crime
Lockout,False,81796,en,21.323,2012-04-12,1810,5.9,Action
The Jewel of the Nile,False,10303,en,21.323,1985-08-01,1132,6.221,Adventure
Ronaldo,False,361931,en,21.321,2015-11-09,373,7.0,Documentary
First They Killed My Father,False,433247,en,21.315,2017-02-18,663,7.376,War
Third Star,False,75170,en,21.315,2010-06-01,131,7.1,Drama
Parting Glances,False,32446,en,21.315,1986-02-19,50,6.9,Comedy
Che: Part One,False,8881,en,21.315,2008-09-05,729,6.8,Drama
Withnail & I,False,13446,en,21.314,1987-06-19,550,7.3,Comedy
Pamangkin,False,1262523,tl,21.312,2024-03-20,0,0.0,Drama
Abandoned,False,356987,en,21.311,2015-08-30,119,5.9,Drama
Only God Forgives,False,77987,en,21.311,2013-05-30,2396,5.8,Drama
Mystery Date,False,53027,en,21.311,1991-08-16,51,5.9,Comedy
Alaska,False,36344,en,21.309,1996-08-14,130,5.8,Family
Wit,False,26976,en,21.309,2001-02-09,105,7.381,Drama
Deathsport,False,28735,en,21.307,1978-04-01,47,4.1,Action
Summer 1993,False,438634,ca,21.305,2017-03-24,197,7.122,Drama
Think Like a Man,False,67660,en,21.305,2012-04-20,832,6.8,Comedy
Daddy Day Camp,False,14144,en,21.305,2007-08-08,449,4.714,Family
Saw,False,246355,en,21.303,2003-10-16,582,7.0,Crime
Three Coins in the Fountain,False,41503,en,21.302,1954-05-01,49,5.9,Drama
The Admiral: Roaring Currents,False,282631,ko,21.301,2014-07-30,283,7.0,War
Kristy,False,146229,en,21.297,2014-08-07,406,6.1,Thriller
The Possession,False,77883,en,21.296,2012-08-30,1573,6.0,Horror
You Wish!,False,111485,en,21.295,2003-01-10,52,5.7,Comedy
Barbershop: The Next Cut,False,326423,en,21.29,2016-04-15,452,6.324,Comedy
Four Brothers,False,8292,en,21.288,2005-08-11,2107,6.8,Action
Easy Money,False,29920,sv,21.287,2010-01-15,226,6.5,Drama
The Little Vampire 3D,False,442056,en,21.281,2017-10-04,157,6.0,Comedy
Audition,False,11075,ja,21.277,2000-03-03,1527,7.1,Horror
Snoopy Presents: For Auld Lang Syne,False,881211,en,21.276,2021-12-09,99,7.2,Animation
Zoolander,False,9398,en,21.276,2001-09-28,4412,6.2,Comedy
What a Girl Wants,False,10735,en,21.272,2003-03-27,1606,6.3,Comedy
The Silencing,False,603119,en,21.268,2020-07-18,672,6.466,Thriller
Another Round,False,580175,da,21.268,2020-09-24,3229,7.6,Comedy
Army of One,False,768939,en,21.267,2020-12-14,188,5.7,Action
The Trip,False,63578,en,21.266,2011-04-24,283,6.7,Comedy
Escape to Witch Mountain,False,14821,en,21.266,1975-03-21,198,6.422,Adventure
The Secret Life of Words,False,148,en,21.266,2005-12-15,199,7.0,Romance
Doraemon: Nobita and the Winged Braves,False,162092,ja,21.263,2001-03-10,37,7.4,Family
Hilda and the Mountain King,False,789708,en,21.258,2021-12-30,160,7.5,Animation
"Madrid, 1987",False,84308,es,21.258,2012-04-13,63,6.4,Drama
Zeros and Ones,False,762433,en,21.255,2021-11-18,213,4.9,War
Maigret,False,752564,fr,21.251,2022-02-23,252,5.8,Mystery
Pathaan,False,864692,hi,21.248,2023-01-25,188,6.5,Action
Ricki and the Flash,False,275601,en,21.248,2015-07-10,696,5.8,Comedy
Creation,False,30431,en,21.247,2009-09-25,221,6.4,Drama
Escape,False,1164892,en,21.246,2024-03-15,5,2.2,Thriller
Nostalgia in Red,False,1372009,et,21.245,2024-11-12,0,0.0,Drama
Ooops! Noah Is Gone...,False,326215,en,21.244,2015-03-26,315,6.4,Animation
The Last Starfighter,False,11884,en,21.244,1984-07-13,679,6.6,Adventure
Recovery,False,421848,en,21.24,2016-10-21,83,5.1,Horror
Engaged to be Murdered,False,1068625,en,21.239,2023-01-02,6,5.2,Thriller
The Night Evelyn Came Out of the Grave,False,42499,it,21.238,1971-08-18,68,6.0,Mystery
The Thief and the Cobbler,False,26672,en,21.238,1993-09-23,123,7.1,Animation
Way Off Broadway,False,292942,en,21.237,2001-06-20,4,4.8,Drama
Chinese Zodiac,False,98567,cn,21.234,2012-12-20,802,6.173,Action
The Thomas Crown Affair,False,912,en,21.232,1968-06-26,481,6.8,Crime
Proud Mary,False,442064,en,21.231,2018-01-12,488,5.481,Thriller
Army of One,False,336445,en,21.229,2016-11-04,292,5.2,Comedy
Blunt Force Trauma,False,360387,en,21.228,2015-10-05,80,5.0,Action
Killer Elite,False,49021,en,21.228,2011-09-22,2106,6.259,Action
Drive Angry,False,47327,en,21.228,2011-02-24,1841,5.5,Fantasy
Mesrine: Killer Instinct,False,13635,fr,21.228,2008-10-22,914,7.3,Drama
Happy Ending,False,1139819,nl,21.227,2023-09-01,75,5.9,Romance
Vanguard,False,604822,zh,21.223,2020-09-30,539,6.3,Comedy
The Condemned 2,False,353610,en,21.223,2015-11-06,149,5.2,Action
Inescapable,False,121676,en,21.217,2012-09-14,55,5.3,Thriller
Lord of Misrule,False,853387,en,21.215,2023-10-26,94,6.1,Horror
Nothing to Lose,False,11676,en,21.215,1997-07-18,600,6.5,Comedy
Empire of Dreams: The Story of the Star Wars Trilogy,False,76180,en,21.213,2004-09-12,184,7.7,Documentary
Stealth,False,10048,en,21.205,2005-07-27,1038,5.4,Science Fiction
Amelia’s Children,False,1082063,pt,21.204,2024-01-18,91,6.286,Horror
Lupin the Third: Island of Assassins,False,31599,ja,21.204,1997-08-01,57,6.6,Action
Like Minds,False,15714,en,21.202,2006-08-03,104,6.3,Thriller
Fear and Desire,False,10165,en,21.199,1953-03-31,494,5.433,Drama
Pokémon: Lucario and the Mystery of Mew,False,34067,ja,21.198,2005-07-16,297,7.0,Family
Billy Elliot,False,71,en,21.198,2000-09-28,3801,7.6,Drama
Bad Guy,False,25649,ko,21.196,2001-11-11,261,6.6,Drama
Battle of the Sexes,False,369192,en,21.195,2017-09-22,1834,6.8,Drama
Cage Dive,False,420707,en,21.194,2017-08-11,319,4.6,Horror
Daughter of the Bride,False,1081065,en,21.193,2023-02-03,26,6.0,Comedy
20th Century Women,False,342737,en,21.191,2016-12-28,1120,7.3,Drama
V/H/S/85,False,1032948,en,21.188,2023-11-23,73,5.7,Horror
Life,False,300153,en,21.184,2015-09-09,343,6.0,Drama
DodgeBall: A True Underdog Story,False,9472,en,21.184,2004-06-18,3451,6.4,Comedy
We All Loved Each Other So Much,False,42269,it,21.181,1974-12-21,549,8.3,Drama
Pandora's Box,False,905,de,21.179,1929-01-30,225,7.5,Drama
All About Eve,False,705,en,21.178,1950-11-09,1516,8.1,Drama
An Easy Girl,False,575479,fr,21.177,2019-08-28,346,5.579,Comedy
The Outsider,False,63502,en,21.176,2002-11-10,31,5.597,Drama
Second Chance,False,53010,fr,21.172,2011-01-05,259,5.7,Comedy
The Job Whisperer,False,1239083,pt,21.171,2024-04-18,1,3.0,Comedy
The Park,False,1084225,en,21.171,2023-03-02,58,5.9,Action
Until Forever,False,424632,en,21.17,2016-10-20,112,7.5,Drama
Cats & Dogs,False,10992,en,21.17,2001-07-04,1607,5.385,Family
To Every You I've Loved Before,False,874743,ja,21.168,2022-10-07,37,6.7,Animation
Hubie Halloween,False,617505,en,21.168,2020-10-07,1611,5.9,Comedy
Bogus,False,3587,en,21.168,1996-09-06,231,5.8,Fantasy
The Curse of the Cat People,False,28436,en,21.166,1944-04-01,133,6.2,Fantasy
Eden,False,1042834,en,21.164,2024-09-07,2,6.5,Thriller
War Blade,False,1195425,en,21.162,2024-01-09,7,4.9,War
The Wise Guys,False,74767,fr,21.162,1965-10-22,132,8.0,Adventure
Honeymoon in Vegas,False,12518,en,21.162,1992-08-28,277,5.6,Comedy
Big Business,False,12710,en,21.16,1988-06-10,259,6.3,Comedy
Veteran,False,346646,ko,21.159,2015-08-05,203,6.9,Action
City of God: 10 Years Later,False,300605,pt,21.159,2013-10-05,98,6.8,Documentary
Retirement Home,False,736500,fr,21.157,2022-02-16,277,5.9,Comedy
22 Bullets,False,37645,fr,21.157,2010-03-23,1192,6.7,Drama
One Direction: Where We Are - The Concert Film,False,283559,en,21.156,2014-10-08,165,8.4,Music
Piranha 3DD,False,71668,en,21.153,2012-05-11,1045,4.3,Horror
The Osterman Weekend,False,12239,en,21.153,1983-10-14,171,5.6,Action
Nineteen Eighty-Four,False,9314,en,21.152,1984-11-09,1407,6.817,Drama
Dear Santa,False,1097870,en,21.148,2024-11-24,0,0.0,Comedy
Female Leopard,False,255505,ja,21.147,1985-12-27,23,5.4,Drama
Dirty Dancing: Havana Nights,False,10677,en,21.145,2004-02-27,648,6.4,Romance
La Querida,False,1075523,tl,21.144,2023-02-10,6,4.2,Drama
Battle in Seattle,False,13177,en,21.144,2007-09-07,238,6.3,Action
The Protector,False,45408,en,21.143,1985-06-15,177,6.0,Action
Doctor Strange,False,14830,en,21.143,2007-08-14,314,6.761,Action
Malfunction: The Dressing Down of Janet Jackson,False,893018,en,21.142,2021-11-19,4,6.8,Documentary
The French Dispatch,False,542178,en,21.142,2021-10-21,2557,7.05,Drama
Into the Blue 2: The Reef,False,16931,en,21.141,2009-04-21,150,5.2,Action
In Syria,False,441646,ar,21.139,2017-06-22,76,6.599,Drama
Full Out,False,298582,en,21.139,2015-09-11,338,7.3,History
Bruce Lee: The Legend,False,44645,en,21.139,1984-01-01,105,8.0,Documentary
Diary of the Dead,False,13025,en,21.139,2007-05-26,774,5.6,Horror
"ariana grande: excuse me, i love you",False,774372,en,21.137,2020-12-21,354,8.023,Music
Little Shop of Horrors,False,10776,en,21.134,1986-12-19,1431,6.935,Horror
Woodwalkers,False,1241894,de,21.133,2024-10-17,2,6.8,Family
Dr. Jekyll and Mr. Hyde,False,3022,en,21.133,1941-08-12,162,6.4,Drama
Fortress: Sniper's Eye,False,883502,en,21.132,2022-04-29,156,5.301,Action
Duck Duck Goose,False,375107,en,21.131,2018-03-09,163,6.2,Animation
Before the Flood,False,410718,en,21.13,2016-10-21,773,7.695,Documentary
Way Down East,False,31509,en,21.13,1920-09-03,98,6.9,Drama
The Mansion,False,437739,fr,21.129,2017-06-21,472,4.8,Horror
Sitting Bull,False,105536,en,21.127,1954-10-06,21,4.9,Western
Succubus,False,1152368,ru,21.123,2024-04-11,20,5.1,Horror
Left Behind II: Tribulation Force,False,29229,en,21.12,2002-10-29,75,4.4,Fantasy
The Reptile,False,29052,en,21.12,1966-03-06,87,6.0,Horror
The Seventh Sign,False,11082,en,21.12,1988-04-01,339,6.0,Horror
Satan Wants You,False,1083188,en,21.119,2023-08-11,5,7.4,Documentary
Inferno,False,207932,en,21.119,2016-10-13,6198,6.075,Mystery
The Smurfs: The Legend of Smurfy Hollow,False,220845,en,21.118,2013-09-12,99,6.8,Animation
Far from the Madding Crowd,False,3469,en,21.118,1967-06-18,84,6.833,Drama
John and the Hole,False,682532,en,21.115,2021-08-06,125,5.4,Drama
Strip Nude for Your Killer,False,11226,it,21.115,1975-08-24,70,5.5,Horror
Milk,False,10139,en,21.115,2008-11-05,2175,7.241,History
Swept Away,False,12779,en,21.114,2002-10-11,271,4.8,Comedy
What Maisie Knew,False,127373,en,21.113,2013-05-02,410,7.1,Drama
One Love,False,1087571,es,21.111,2023-11-10,29,6.5,Drama
Saint Maud,False,575776,en,21.111,2020-10-09,715,6.6,Horror
Dhoom 2,False,14194,hi,21.111,2006-11-24,241,6.5,Drama
The Black Cat,False,29286,en,21.11,1941-05-02,39,6.462,Comedy
The Abandoned,False,345875,en,21.109,2015-06-13,123,4.8,Thriller
Scared Shrekless,False,48466,en,21.109,2010-10-28,461,6.7,Animation
Black Sheep,False,3603,en,21.108,2007-03-29,743,5.778,Horror
Fat Girl,False,570,fr,21.108,2001-03-07,218,6.1,Drama
Lifeboat,False,13321,en,21.104,1944-01-28,425,7.4,War
Convoy,False,9584,en,21.1,1978-06-27,365,6.3,Action
I Know What You Did,False,291445,en,21.097,1998-01-11,1,5.0,Drama
Amy,False,331781,en,21.095,2015-07-02,1223,7.6,Documentary
Indiscretion of an American Wife,False,74585,it,21.095,1953-04-02,47,5.9,Drama
Cannibal Women in the Avocado Jungle of Death,False,26369,en,21.095,1989-03-15,60,4.6,Horror
Black Mirror: Bandersnatch,False,569547,en,21.092,2018-12-28,3838,6.766,Science Fiction
Devil Angel,False,271116,cn,21.092,1995-11-09,9,4.3,Drama
Lion of the Desert,False,26843,en,21.09,1981-04-17,170,7.3,History
The Tunnel,False,3577,de,21.09,2001-01-21,96,7.1,Drama
Arlington Road,False,1073,en,21.085,1999-03-19,1069,7.0,Crime
Some Nights I Feel Like Walking,False,643442,tl,21.084,2024-11-13,0,0.0,Drama
The Nun's Story,False,27029,en,21.084,1959-06-18,173,7.1,Drama
When Every Day Was the Fourth of July,False,292529,en,21.083,1978-03-12,1,6.0,Drama
Detective Conan: The Time Bombed Skyscraper,False,21422,ja,21.083,1997-04-19,226,7.4,Animation
Contract to Kill,False,423627,en,21.081,2016-12-09,67,4.6,Adventure
My Dad's Christmas Date,False,754053,en,21.076,2020-12-03,46,6.3,Romance
The Last Warrior,False,471968,ru,21.076,2017-10-19,169,6.9,Fantasy
Going Down in LA-LA Land,False,105789,en,21.074,2011-05-01,48,5.8,Drama
Hellraiser: Hellworld,False,12699,en,21.073,2005-09-06,324,4.761,Horror
The Ghost of Lord Farquaad,False,25523,en,21.071,2004-04-03,267,6.0,Fantasy
The Devil-Doll,False,29320,en,21.07,1936-07-10,109,6.8,Horror
The Hard Corps,False,9924,en,21.07,2005-07-29,240,6.1,Action
The Laws of Thermodynamics,False,437029,es,21.069,2018-04-20,160,5.8,Romance
Bad Sister,False,375846,en,21.069,2015-08-24,229,6.6,Thriller
The Haunting,False,11618,en,21.069,1999-07-23,1350,5.5,Horror
Revenge of the Green Dragons,False,286709,en,21.067,2014-10-31,90,5.3,Drama
Wimbledon,False,11823,en,21.066,2004-09-13,981,6.2,Comedy
Jack Frost,False,9745,en,21.066,1998-11-15,1127,6.0,Comedy
Christmas & Co.,False,451500,fr,21.064,2017-12-06,587,6.3,Comedy
Last Sentinel,False,516806,en,21.061,2023-03-17,161,5.45,Science Fiction
El Padrino II: Border Intrusion,False,101251,en,21.061,2008-01-01,4,6.2,Crime
Adventure Time,False,355460,en,21.06,2007-01-11,24,8.2,Adventure
"Mickey, Donald, Goofy: The Three Musketeers",False,21385,en,21.054,2004-08-04,924,6.7,Adventure
Crew,False,1045931,hi,21.052,2024-03-29,46,7.0,Comedy
Batman: The Killing Joke,False,382322,en,21.052,2016-07-24,1793,6.6,Action
Lowlifes,False,1272890,en,21.048,2024-04-11,48,6.5,Horror
The Electrical Life of Louis Wain,False,617762,en,21.048,2021-10-21,444,6.921,Drama
Kal Ho Naa Ho,False,4254,hi,21.048,2003-11-27,381,7.5,Comedy
Supercell,False,842945,en,21.045,2023-03-17,248,5.8,Action
Vicini di casa,False,863929,it,21.044,2022-12-01,98,5.592,Comedy
Thunder Force,False,615678,en,21.042,2021-04-09,1224,5.5,Comedy
Hailey Dean Mysteries: A Will to Kill,False,529371,en,21.041,2018-06-17,30,6.7,Mystery
The Seasoning House,False,127651,en,21.038,2012-08-21,239,6.3,Horror
The Girl Next Door,False,451417,ko,21.037,2017-03-21,4,4.2,Romance
Devils Stay,False,660355,ko,21.036,2024-11-14,0,0.0,Horror
FX's A Christmas Carol,False,656968,en,21.036,2019-12-19,172,7.1,Drama
The Incredible Jessica James,False,432789,en,21.036,2017-01-27,202,6.2,Romance
The Nightingale,False,400090,en,21.036,2018-09-23,547,7.085,Drama
One Piece 3D: Straw Hat Chase,False,79082,ja,21.035,2011-03-19,151,6.772,Animation
Bedknobs and Broomsticks,False,12335,en,21.035,1971-10-07,947,7.0,Adventure
My Super Ex-Girlfriend,False,4474,en,21.032,2006-07-20,1417,5.1,Comedy
Godzilla vs. Destoroyah,False,12561,ja,21.03,1995-12-09,245,7.8,Action
The Girl in the Park,False,16204,en,21.029,2007-09-09,76,6.0,Drama
Apocalypse of Ice,False,747550,en,21.025,2020-09-15,26,3.8,Science Fiction
¡Que viva México!,False,868985,es,21.024,2023-03-23,170,7.3,Drama
Mister Bob,False,76351,fr,21.024,2011-10-03,3,4.7,Drama
I Want Candy,False,13687,en,21.021,2007-03-23,101,5.1,Drama
The Bridges of Madison County,False,688,en,21.019,1995-06-02,2129,7.708,Drama
The Christmas Secret,False,310972,en,21.018,2014-11-23,113,6.9,Romance
The Adventurers,False,452551,cn,21.017,2017-08-11,168,6.0,Action
The Cowboys,False,15573,en,21.017,1972-01-13,235,7.1,Western
The Night Before,False,296100,en,21.016,2015-11-20,1657,6.1,Comedy
"The Cynic, the Rat & the Fist",False,52810,it,21.016,1977-02-03,59,6.7,Action
Double Indemnity,False,996,en,21.014,1944-07-06,1780,8.1,Crime
Untogether,False,424651,en,21.013,2019-02-08,44,5.5,Comedy
The Man from the Future,False,73624,pt,21.012,2011-09-02,351,7.2,Comedy
The Jerk,False,6471,en,21.011,1979-12-14,801,6.9,Comedy
Paddleton,False,525183,en,21.009,2019-02-22,273,7.033,Comedy
Cop Out,False,23742,en,21.009,2010-02-26,1476,5.5,Action
Bicycle Thieves,False,5156,it,21.009,1948-07-21,2378,8.192,Drama
The Navigator: A Medieval Odyssey,False,34637,en,21.008,1988-12-15,78,6.1,Action
Missing in Action,False,15379,en,21.007,1984-11-16,477,5.8,Action
Gotti,False,14786,en,21.003,1996-08-17,81,6.4,Crime
The Outlaw Josey Wales,False,10747,en,21.002,1976-06-30,1127,7.4,Western
The Monkey King 3,False,437543,zh,21.001,2018-02-16,47,5.5,Adventure
Pokémon the Movie: Secrets of the Jungle,False,662708,ja,21.0,2020-12-25,161,7.2,Animation
Sister of Mine,False,432991,es,20.997,2017-01-31,47,5.2,Drama
Manjummel Boys,False,1069945,ml,20.996,2024-02-22,37,7.9,Adventure
"Bangkok, We Have A Problem!",False,295087,fr,20.994,2014-10-22,107,5.0,Adventure
Dead Space: Downfall,False,13190,en,20.99,2008-10-27,338,6.2,Animation
Antitrust,False,9989,en,20.99,2001-01-11,509,6.0,Action
Steins;Gate: The Movie - Load Region of Déjà Vu,False,225745,ja,20.987,2013-04-20,337,7.6,Science Fiction
Vengeance: A Love Story,False,397415,en,20.985,2017-03-16,301,5.528,Action
Bullet in the Head,False,11909,cn,20.985,1990-08-17,262,7.5,Action
Pretty in Pink,False,11522,en,20.985,1986-02-28,1079,6.727,Romance
Oxen Split Torturing,False,36225,ja,20.984,1976-09-04,26,6.0,Horror
Heidi,False,28345,en,20.984,1937-10-15,99,6.8,Drama
Love and Honor,False,140222,en,20.983,2013-03-22,342,6.1,Drama
The Hanging Tree,False,43008,en,20.977,1959-02-19,103,6.7,Western
The Reluctant Dragon,False,22752,en,20.972,1941-06-19,148,6.6,Family
İffet,False,428228,tr,20.969,1982-01-01,7,4.4,Drama
Evil Angels,False,35119,en,20.966,1988-11-03,201,6.7,Drama
Natty Knocks,False,960469,en,20.964,2023-07-21,21,5.2,Horror
Serving Sara,False,12771,en,20.964,2002-08-23,310,5.4,Comedy
Enemy of the State,False,9798,en,20.963,1998-11-20,3781,7.0,Action
Shattered Glass,False,13537,en,20.961,2003-11-14,417,7.0,Drama
The Shop Around the Corner,False,20334,en,20.959,1940-01-12,713,8.156,Comedy
Cora,False,1086867,en,20.958,2024-05-31,6,4.3,Science Fiction
Someday We'll Tell Each Other Everything,False,1045205,de,20.957,2023-04-13,33,6.2,Drama
Loving Memories,False,957607,fr,20.956,2023-04-05,53,5.9,Drama
My Ex's Wedding,False,1285947,th,20.954,2024-11-14,0,0.0,Romance
Code Name: The Cleaner,False,14396,en,20.952,2007-01-05,237,5.1,Action
Guns Akimbo,False,457335,en,20.951,2020-02-27,2282,6.45,Action
Midnight Express,False,11327,en,20.951,1978-08-31,1685,7.5,Drama
Fist of the North Star: Legend of Raoh - Chapter of Fierce Fight,False,114372,ja,20.945,2007-04-28,75,6.5,Action
Fatherland,False,11248,en,20.944,1994-11-26,117,6.2,Drama
Riders of Justice,False,663870,da,20.943,2020-11-19,843,7.3,Action
Special Delivery,False,606403,ko,20.942,2022-01-12,178,7.0,Action
Macbeth,False,225728,en,20.942,2015-09-22,1431,6.5,Drama
Nightman,False,1000173,en,20.939,2023-09-07,18,6.9,Thriller
Life Stinks,False,6524,en,20.938,1991-06-05,191,5.6,Comedy
High Fidelity,False,243,en,20.937,2000-03-17,1959,7.123,Drama
The Row,False,529649,en,20.935,2018-07-27,63,4.6,Thriller
Green Room,False,313922,en,20.934,2016-04-15,2655,6.7,Horror
Conan the Destroyer,False,9610,en,20.932,1984-06-29,1463,6.096,Adventure
Ice Age: The Great Egg-Scapade,False,387893,en,20.931,2016-03-19,476,6.4,Adventure
Howling VI: The Freaks,False,36421,en,20.929,1991-04-18,71,4.5,Horror
Amityville 3-D,False,27214,en,20.927,1983-11-18,215,4.6,Horror
Amen.,False,9045,fr,20.927,2002-02-27,334,7.0,Drama
Lake Placid vs. Anaconda,False,336560,en,20.925,2015-04-25,213,5.0,Action
The Women in the Lakes,False,1216925,ja,20.924,2024-05-17,0,0.0,Thriller
Birth of the Dragon,False,408266,en,20.924,2017-08-25,289,5.739,Action
Shark Lake,False,299553,en,20.921,2015-10-02,67,3.5,Thriller
God Is a Bullet,False,808396,en,20.918,2023-06-22,195,6.1,Thriller
The Killers,False,14638,en,20.917,1946-08-30,378,7.3,Crime
The Empire of Corpses,False,342588,ja,20.914,2015-10-02,98,6.0,Animation
Love Comes Softly,False,16250,en,20.913,2003-04-13,126,6.679,TV Movie
Fear Island,False,42309,en,20.912,2009-09-08,150,5.3,Horror
Nights in Rodanthe,False,14326,en,20.912,2008-09-26,586,6.3,Drama
Husbands and Wives,False,28384,en,20.911,1992-09-18,444,7.0,Comedy
24 Year Old Yoon Yul's Sexy Breasts,False,865463,ko,20.91,2021-03-01,18,7.2,Drama
The Party at Kitty and Stud's,False,4255,en,20.91,1970-02-10,70,3.8,Comedy
Dragon: The Bruce Lee Story,False,10423,en,20.909,1993-05-07,725,6.903,Drama
The Palace,False,824016,it,20.908,2023-09-28,155,5.4,Comedy
Female Hostel 2,False,511642,ko,20.907,2018-03-22,3,3.0,Romance
Almost Paradise,False,1232732,es,20.904,2024-09-12,6,7.8,Drama
Fabricated City,False,435366,ko,20.904,2017-02-09,313,7.6,Action
3 Generations,False,300667,en,20.904,2016-10-27,430,6.4,Comedy
The Place Beyond the Pines,False,97367,en,20.903,2013-03-20,4789,7.0,Drama
Meet Bill,False,13243,en,20.902,2007-09-07,314,6.1,Comedy
Departures,False,16804,ja,20.901,2008-09-13,821,7.849,Drama
Pitch Black,False,2787,en,20.901,2000-02-18,4363,6.8,Thriller
Finestkind,False,507532,en,20.9,2023-09-08,244,7.0,Crime
Tom and Jerry: The Movie,False,22582,en,20.897,1992-10-01,576,6.3,Animation
The Remains of the Day,False,1245,en,20.896,1993-11-05,1300,7.4,Drama
Rudolph the Red-Nosed Reindeer & the Island of Misfit Toys,False,43575,en,20.895,2001-10-14,79,6.0,Animation
Air,False,964980,en,20.893,2023-04-05,1886,7.344,Drama
Why Don't You Play in Hell?,False,134350,ja,20.892,2013-09-14,285,7.4,Drama
Bobby,False,10741,en,20.891,2006-09-05,379,6.4,Drama
Firebrand,False,848439,en,20.89,2024-03-27,67,6.4,Drama
He's Out There,False,431185,en,20.89,2018-10-25,294,5.8,Horror
Missing,False,15600,en,20.888,1982-02-12,376,7.3,Drama
Pelle the Conqueror,False,11174,da,20.888,1987-12-21,145,7.3,Drama
Spell,False,621151,en,20.887,2020-10-30,383,6.4,Thriller
Romeo and Juliet,False,6003,en,20.886,1968-04-02,664,7.4,Drama
The Man with the Iron Fists,False,97430,en,20.884,2012-11-02,1108,5.5,Action
Along Came Polly,False,5966,en,20.882,2004-01-16,2806,6.0,Comedy
Stuart Little 3: Call of the Wild,False,30178,en,20.881,2005-07-14,484,5.2,Animation
Dad's Army,False,332721,en,20.88,2016-02-05,201,4.965,Comedy
The Rover,False,157845,en,20.88,2014-06-04,936,6.3,Crime
Si Juki the Movie: Harta Pulau Monyet,False,617209,id,20.878,2024-06-27,2,7.0,Animation
The Wisdom of Crocodiles,False,1448,en,20.878,1998-11-27,91,5.8,Fantasy
Above the Law,False,9395,en,20.876,1988-04-08,688,6.079,Action
Big Trouble,False,2185,en,20.874,2002-04-05,282,6.1,Action
Shortcut,False,684684,en,20.873,2020-09-25,114,5.3,Horror
Girl in the Bunker,False,501624,en,20.873,2018-01-12,33,7.2,TV Movie
To End All War: Oppenheimer & the Atomic Bomb,False,1149947,en,20.87,2023-07-09,207,7.763,Documentary
Transformers: Dark of the Moon,False,38356,en,20.87,2011-06-28,8253,6.2,Action
Eyes of Laura Mars,False,29143,en,20.87,1978-08-02,204,5.8,Mystery
Doraemon: Nobita and the Kingdom of Clouds,False,134162,ja,20.868,1992-03-07,28,7.2,Animation
Fred Claus,False,5375,en,20.868,2007-11-09,831,5.8,Action
Diner,False,13776,en,20.863,1982-04-02,277,6.8,Comedy
Derailed,False,8999,en,20.863,2005-11-11,1011,6.4,Drama
Brooklyn's Finest,False,26390,en,20.862,2010-03-04,891,6.3,Crime
Masquerade,False,892515,fr,20.86,2022-11-01,408,6.775,Comedy
Time Lapse,False,273271,en,20.86,2014-05-24,1221,6.5,Thriller
King Solomon's Mines,False,43388,en,20.858,1950-11-09,116,6.5,Adventure
Pokémon 3: The Movie,False,10991,ja,20.858,2000-07-08,619,6.5,Adventure
Nothing but Trouble,False,11933,en,20.857,1991-02-15,352,5.3,Comedy
The Man with One Red Shoe,False,10905,en,20.857,1985-07-18,265,5.7,Action
The Duke,False,645689,en,20.856,2021-07-23,309,7.0,Comedy
Max Keeble's Big Move,False,34549,en,20.856,2001-10-05,152,5.8,Comedy
12 Rounds 3: Lockdown,False,351901,en,20.852,2015-09-11,192,5.9,Action
Idol Affair,False,1196366,es,20.851,2024-02-14,21,4.69,Comedy
Beyond Utopia,False,1070032,en,20.848,2023-10-23,36,7.9,Documentary
