title,adult,id,original_language,popularity,release_date,vote_count,vote_average,primary_genre
The Christmas Charade,False,1359867,en,139.207,2024-10-26,7,7.2,TV Movie
Puss in Boots: The Last Wish,False,315162,en,172.491,2022-11-26,7718,8.2,Animation
Scream,False,646385,en,153.983,2022-01-12,3277,6.7,Horror
365 Days: This Day,False,829557,pl,178.564,2022-04-26,1518,5.87,Romance
BLUE LOCK THE MOVIE -EPISODE NAGI-,False,1104844,ja,172.448,2024-04-19,86,7.174,Animation
The Lord of the Rings: The Fellowship of the Ring,False,120,en,171.266,2001-12-18,25105,8.416,Adventure
Trap,False,1032823,en,142.112,2024-07-31,1583,6.465,Thriller
Little Bites,False,1139095,en,148.849,2024-10-04,24,6.4,Horror
Joker,False,475557,en,180.128,2019-10-01,25634,8.149,Crime
Road House,False,359410,en,138.068,2024-03-08,2262,7.0,Action
Sonic the Hedgehog 3,False,939243,en,165.139,2024-12-19,0,0.0,Action
The Equalizer,False,156022,en,135.525,2014-09-24,8969,7.279,Thriller
Rebel Ridge,False,646097,en,169.461,2024-08-27,941,7.0,Crime
Harry Potter and the Chamber of Secrets,False,672,en,177.705,2002-11-13,21863,7.7,Adventure
Prey,False,766507,en,133.725,2022-08-02,6627,7.7,Thriller
Hounds of War,False,949484,en,162.156,2024-08-29,101,6.4,Action
Scary Movie,False,4247,en,138.464,2000-07-07,6912,6.362,Comedy
The Hobbit: The Battle of the Five Armies,False,122917,en,166.069,2014-12-10,14204,7.323,Action
MadS,False,1262983,fr,135.589,2024-10-25,33,7.1,Horror
Mantra Warrior: The Legend of The Eight Moons,False,1134424,th,153.774,2023-10-11,33,6.6,Animation
Spider-Man,False,557,en,118.659,2002-05-01,18996,7.302,Action
The Maze Runner,False,198663,en,151.254,2014-09-10,16934,7.2,Action
Oppenheimer,False,872585,en,147.995,2023-07-19,9217,8.083,Drama
Last Straw,False,1137205,en,154.398,2024-09-20,39,6.577,Drama
Mission: Impossible - Dead Reckoning Part One,False,575264,en,245.538,2023-07-08,3770,7.548,Action
Elemental,False,976573,en,154.281,2023-06-14,4436,7.636,Animation
Skinford 2: The Curse,False,1358752,es,143.875,2024-05-20,1,2.0,Thriller
10 Days of a Curious Man,False,1169361,tr,140.801,2024-11-06,8,5.5,Thriller
Shang-Chi and the Legend of the Ten Rings,False,566525,en,244.245,2021-09-01,9354,7.5,Action
Fight Club,False,550,en,126.907,1999-10-15,29333,8.438,Drama
A Man Called Otto,False,937278,en,171.651,2022-12-28,2669,7.759,Comedy
Caras vemos,False,1255017,es,140.994,2024-08-22,7,6.9,Comedy
The Marvels,False,609681,en,142.02,2023-11-08,2669,6.076,Science Fiction
Temurun,False,1264429,id,131.75,2024-05-30,14,6.3,Horror
Wonka,False,787699,en,158.223,2023-12-06,3470,7.117,Comedy
Justice League: Crisis on Infinite Earths Part Three,False,1209290,en,140.014,2024-07-15,219,7.5,Animation
Mad Max: Fury Road,False,76341,en,136.701,2015-05-13,22522,7.6,Action
The Batman,False,414906,en,184.67,2022-03-01,10250,7.7,Crime
Up,False,14160,en,106.977,2009-05-28,20135,7.959,Animation
My Old Ass,False,947891,en,236.723,2024-09-13,80,6.675,Comedy
White Chicks,False,12153,en,183.205,2004-06-23,3975,6.953,Comedy
Taken 3,False,260346,en,136.211,2014-12-16,5714,6.3,Thriller
Captain America: Civil War,False,271110,en,114.715,2016-04-27,22598,7.4,Adventure
Wrath of Man,False,637649,en,232.725,2021-04-22,5237,7.631,Crime
Sonic the Hedgehog 2,False,675353,en,170.949,2022-03-30,4962,7.503,Action
Seven Cemeteries,False,901060,en,135.706,2024-10-11,7,5.214,Horror
The Flesh,False,72808,it,165.718,1991-05-09,47,5.309,Drama
The Jack in the Box Rises,False,1207898,en,128.34,2024-01-18,145,6.8,Horror
Carved,False,1308546,en,133.602,2024-10-21,33,5.0,Horror
Titanic,False,597,en,144.179,1997-11-18,25281,7.906,Drama
GoodFellas,False,769,en,146.232,1990-09-12,12833,8.5,Drama
The Ministry of Ungentlemanly Warfare,False,799583,en,188.308,2024-04-18,1141,7.1,Action
Gracie & Pedro: Pets to the Rescue,False,1207830,en,131.058,2024-05-01,25,7.0,Animation
Outlaw,False,1186947,pt,122.363,2024-06-20,88,6.0,Action
Outlaw,False,1186947,pt,162.249,2024-06-20,88,6.0,Action
Harry Potter and the Goblet of Fire,False,674,en,162.178,2005-11-16,20579,7.812,Adventure
Female Ninjas Magic Chronicles 4: Rebel Forces at the Threshold,False,360778,ja,160.953,1994-03-24,3,3.3,Action
Lee,False,832964,en,160.612,2024-09-12,175,7.1,History
Dune,False,438631,en,160.327,2021-09-15,12631,7.782,Science Fiction
Pirates of the Caribbean: The Curse of the Black Pearl,False,22,en,160.015,2003-07-09,20538,7.8,Adventure
The Exorcism,False,646683,en,159.909,2024-05-30,246,5.1,Horror
Cinderella,False,150689,en,159.856,2015-03-06,7041,6.82,Romance
X,False,760104,en,159.59,2022-03-17,3223,6.76,Horror
Damsel,False,763215,en,158.724,2024-03-07,2146,7.065,Fantasy
The Nightmare Before Christmas,False,9479,en,158.044,1993-10-09,9477,7.8,Fantasy
Highlander: The Search for Vengeance,False,13194,en,157.991,2007-06-05,117,7.2,Action
Blink Twice,False,840705,en,157.79,2024-08-21,787,6.8,Mystery
Inception,False,27205,en,157.764,2010-07-15,36502,8.369,Action
Lassie: A New Adventure,False,1088563,de,157.224,2023-07-27,15,6.8,Adventure
Shutter Island,False,11324,en,157.153,2010-02-14,23870,8.2,Drama
Harry Potter and the Prisoner of Azkaban,False,673,en,155.89,2004-05-31,21473,8.018,Adventure
Deadpool,False,293660,en,155.839,2016-02-09,30946,7.623,Action
The Apprentice,False,1182047,en,155.55,2024-10-09,201,7.0,Drama
The Invention of Flesh,False,390159,es,154.893,2009-01-01,5,3.8,Drama
Justice League,False,141052,en,153.087,2017-11-15,12880,6.1,Action
The Avengers,False,24428,en,137.923,2012-04-25,30683,7.72,Science Fiction
Ipar Adalah Maut,False,1181068,id,152.135,2024-06-13,9,6.944,Drama
Fifty Shades of Grey,False,216015,en,151.971,2015-02-11,11706,5.9,Drama
Rebel Moon - Part Two: The Scargiver,False,934632,en,169.561,2024-04-19,1129,6.132,Science Fiction
Die Alone,False,1141182,en,124.194,2024-09-27,17,6.0,Horror
Harry Potter and the Order of the Phoenix,False,675,en,134.974,2007-07-08,19366,7.679,Adventure
Scouts Guide to the Zombie Apocalypse,False,273477,en,115.931,2015-10-23,1904,6.5,Comedy
Padre no hay más que uno 4: Campanas de boda,False,1030076,es,149.461,2024-07-17,60,6.9,Family
A Quiet Place,False,447332,en,101.083,2018-04-03,14108,7.404,Horror
Pirates of the Caribbean: Dead Man's Chest,False,58,en,124.805,2006-07-06,15855,7.4,Adventure
Officer Black Belt,False,1139817,ko,118.559,2024-09-10,216,7.78,Action
Elevation,False,1035048,en,147.918,2024-11-07,9,7.444,Action
The Fall Guy,False,746036,en,137.533,2024-04-24,2269,7.145,Action
Shrek,False,808,en,147.178,2001-05-18,17061,7.7,Animation
How the Grinch Stole Christmas,False,8871,en,105.75,2000-11-17,7351,6.763,Family
The Wolf of Wall Street,False,106646,en,119.745,2013-12-25,23863,8.033,Crime
"Miraculous World, London: At the Edge of Time",False,1147416,fr,137.556,2024-10-05,31,7.0,Animation
Beetlejuice,False,4011,en,113.053,1988-03-30,7476,7.4,Fantasy
Frozen,False,109445,en,157.275,2013-11-20,16446,7.2,Animation
Hacksaw Ridge,False,324786,en,148.995,2016-10-07,13664,8.2,Drama
Wish,False,1022796,en,144.249,2023-11-13,1437,6.3,Animation
Smile,False,882598,en,144.121,2022-09-23,3173,6.7,Horror
No Way Up,False,1096197,en,120.596,2024-01-18,930,6.381,Thriller
The Hunger Games: Mockingjay - Part 1,False,131631,en,143.246,2014-11-19,15723,6.8,Science Fiction
Do Patti,False,1148172,hi,119.935,2024-10-24,25,7.2,Thriller
The Mouse Trap,False,1225377,en,109.594,2024-08-23,40,4.4,Horror
Sing 2,False,438695,en,130.038,2021-11-27,4368,7.867,Animation
Alien,False,348,en,142.471,1979-05-25,14703,8.2,Horror
El Apocalipsis de san Juan,False,1262299,es,123.53,2024-10-07,1,10.0,Documentary
Ant-Man and the Wasp: Quantumania,False,640146,en,193.393,2023-02-15,4952,6.322,Action
Hotel Transylvania,False,76492,en,111.078,2012-09-20,8566,7.0,Animation
Avengers: Endgame,False,299534,en,140.127,2019-04-24,25565,8.2,Adventure
The Clean Up Crew,False,1010161,en,115.296,2024-09-12,7,4.9,Action
The Lion King,False,420818,en,122.735,2019-07-12,9953,7.116,Adventure
The Union,False,704239,en,139.791,2024-08-15,787,6.252,Action
Catch Me If You Can,False,640,en,133.568,2002-12-16,15564,8.0,Drama
The Ice Age Adventures of Buck Wild,False,774825,en,118.583,2022-01-28,1696,6.6,Animation
Taken,False,8681,en,118.483,2008-02-18,11142,7.4,Action
Parasite,False,496243,ko,133.458,2019-05-30,18222,8.505,Comedy
Parasite,False,496243,ko,133.458,2019-05-30,18222,8.505,Comedy
The Most Wonderful Time of the Year,False,1358947,en,101.771,2024-10-11,18,5.4,Animation
Jurassic World,False,135397,en,83.091,2015-06-06,20275,6.692,Action
Beverly Hills Cop: Axel F,False,280180,en,125.699,2024-06-20,1062,6.8,Action
The Last Voyage of the Demeter,False,635910,en,139.026,2023-08-09,1550,6.8,Horror
Napoleon,False,753342,en,171.743,2023-11-22,2464,6.394,History
Drawing Closer,False,1291559,ja,121.311,2024-06-26,109,8.5,Romance
Killer Body Count,False,1290409,en,89.499,2024-05-17,9,5.2,Horror
VIRGO,False,1280655,en,158.896,2021-04-14,1,9.5,Adventure
My Spy The Eternal City,False,1048241,en,121.001,2024-07-18,314,6.642,Action
Big Hero 6,False,177572,en,142.201,2014-10-24,15546,7.733,Adventure
Aquaman and the Lost Kingdom,False,572802,en,154.612,2023-12-20,2787,6.679,Action
Kung Fu Panda 3,False,140300,en,81.027,2016-01-23,5989,6.9,Action
