id,title,original_title,release_date,overview,genre_ids,original_language,popularity,vote_average,vote_count,adult,genre_names
592695,Pleasure,Pleasure,2021-10-08,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",[18],sv,381.768,6.2,542,False,['Drama']
1241982,Moana 2,Moana 2,2024-11-27,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.","[16, 12, 10751, 35]",en,380.121,0.0,0,False,"['Animation', 'Adventure', 'Family', 'Comedy']"
1010581,My Fault,Culpa mía,2023-06-08,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.","[10749, 18]",es,379.981,7.92,3038,False,"['Romance', 'Drama']"
1140648,Double Blind,Double Blind,2024-02-09,"After an experimental drug trial goes awry, the test subjects face a terrifying side effect: if you fall asleep you die. Trapped in an isolated facility, panic ensues as they try to escape and somehow stay awake.","[878, 27, 53]",en,377.462,5.8,69,False,"['Science Fiction', 'Horror', 'Thriller']"
718821,Twisters,Twisters,2024-07-10,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.","[53, 28]",en,316.419,6.955,1732,False,"['Thriller', 'Action']"
639720,IF,IF,2024-05-08,"After discovering she can see everyone's imaginary friends, a girl embarks on a magical adventure to reconnect forgotten imaginary friends with their kids.","[35, 14, 10751]",en,369.797,7.3,982,False,"['Comedy', 'Fantasy', 'Family']"
748783,The Garfield Movie,The Garfield Movie,2024-04-30,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.","[16, 35, 10751, 12, 28]",en,355.993,7.1,1074,False,"['Animation', 'Comedy', 'Family', 'Adventure', 'Action']"
1059264,The Inseparables,The Inseparables,2023-09-01,"The animated buddy movie follows the misadventures of Don, a runaway puppet with boundless imaginations, and DJ Doggy Dog, an abandoned plush looking for a friend, who cross paths in Central Park and team up against all odds for a epic friendship adventure in New York.","[16, 12, 35, 10751]",en,267.963,6.5,34,False,"['Animation', 'Adventure', 'Comedy', 'Family']"
814889,Never Let Go,Never Let Go,2024-09-18,"As an evil takes over the world beyond their front doorstep, the only protection for a mother and her twin sons is their house and their family’s protective bond.","[27, 18]",en,349.964,6.2,188,False,"['Horror', 'Drama']"
1087822,Hellboy: The Crooked Man,Hellboy: The Crooked Man,2024-08-29,"Hellboy and a rookie BPRD agent get stranded in 1950s rural Appalachia. There, they discover a small community haunted by witches, led by a local devil with a troubling connection to Hellboy's past: the Crooked Man.","[14, 27, 28]",en,349.291,5.4,265,False,"['Fantasy', 'Horror', 'Action']"
1255208,Bag of Lies,Bag of Lies,2024-03-29,"Desperate to save his dying wife, Matt turns to The Bag, an ancient relic with dark magic. The cure demands a chilling ritual and strict rules. As his wife heals, Matt's sanity unravels, facing terrifying consequences.","[27, 53]",en,341.713,6.0,24,False,"['Horror', 'Thriller']"
762441,A Quiet Place: Day One,A Quiet Place: Day One,2024-06-26,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.","[27, 878, 53]",en,339.472,6.798,2093,False,"['Horror', 'Science Fiction', 'Thriller']"
3933,Corpse Bride,Corpse Bride,2005-09-12,"In a 19th-century European village, a young man about to be married is whisked away to the underworld and wed to a mysterious corpse bride, while his real bride waits bereft in the land of the living.","[10749, 14, 16]",en,329.995,7.6,9252,False,"['Romance', 'Fantasy', 'Animation']"
7451,xXx,xXx,2002-08-09,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.","[28, 12, 53, 80]",en,329.96,5.936,4245,False,"['Action', 'Adventure', 'Thriller', 'Crime']"
783110,Smugglers,밀수,2023-07-26,"Two women are unexpectedly caught up in a high-stakes smuggling scheme in a small, peaceful village by the sea in the 1970s.","[80, 28]",ko,328.818,6.6,46,False,"['Crime', 'Action']"
1153291,Private call,Llamada privada,2023-07-11,"A mysterious phone call will change the life of the writer Valentino Lombardi and his family. He will be violently harassed by a psychopath who will play the bloodiest and most macabre horror story with him. But that's not all, for years he has studied it and will take revenge by torturing anyone who meddles. They must fight to survive and face such an atrocity. Who is it? And what do you want?","[53, 28]",es,321.237,0.0,0,False,"['Thriller', 'Action']"
1145491,Operation Black Ops,Operation Black Ops,2023-07-11,"A group of mercenaries are hired to overthrow a Neo-Nazi stronghold nestled deep in the heart of Texas, only to discover they are protecting nuclear codes that could ignite World War III.","[28, 53]",en,318.257,5.861,36,False,"['Action', 'Thriller']"
1129598,Prey,Prey,2024-03-15,A young couple is compelled to leave their Christian missionary station in the Kalahari Desert after being threatened with death by an extremist militant gang. After crashing their aircraft they must battle man and beast for their lives.,"[28, 53, 27]",en,314.851,6.3,267,False,"['Action', 'Thriller', 'Horror']"
14836,Coraline,Coraline,2009-02-05,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.","[16, 10751, 14]",en,314.664,7.9,8034,False,"['Animation', 'Family', 'Fantasy']"
1104171,Meet Me Next Christmas,Meet Me Next Christmas,2024-11-05,"On a quest to meet the man of her dreams, a hopeless romantic races across New York City to find a ticket to a sold-out Pentatonix Christmas concert.","[10749, 35, 10770]",en,312.246,6.218,62,False,"['Romance', 'Comedy', 'TV Movie']"
1142518,Freedom,Libre,2024-11-01,"Inspired by the true events of one of France's most notorious non-violent robbers, Bruno Sulak, in the 1980s. He led multiple heists, then captured public attention for his many daring escapes from police custody...always to reunite with his beloved lover and accomplice Annie, becoming both France's Public Enemy #1 and an icon of Freedom.","[28, 10749, 18]",fr,470.637,6.8,39,False,"['Action', 'Romance', 'Drama']"
1147710,Hijack 1971,하이재킹,2024-06-21,"Pilots Tae-in and Gyu-sik are set to fly to Gimpo. Under the guidance of flight attendant Ok-soon, passengers are busy boarding. However, shortly after takeoff, a homemade bomb explodes, turning the cabin into chaos.","[28, 53, 80]",ko,298.688,6.1,69,False,"['Action', 'Thriller', 'Crime']"
940551,Migration,Migration,2023-12-06,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.","[16, 28, 12, 35, 10751]",en,277.283,7.4,1791,False,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']"
1306764,Outside,Outside,2024-10-17,"A family retreats to an isolated farm during a zombie outbreak, but years of painful secrets take a toll as they navigate their desolate world.","[27, 53]",tl,262.98,5.9,98,False,"['Horror', 'Thriller']"
929563,Big City Greens the Movie: Spacecation,Big City Greens the Movie: Spacecation,2024-06-06,"When thrill-seeker Cricket tricks his family into taking a ""road trip"" in space, chaos in the cosmos quickly ensues. Despite growing frustrations between Cricket and his dad, Bill, the two must learn to appreciate each other's unique perspectives in order to prevent Big City from being destroyed by an interstellar disaster.","[16, 10751, 35, 10402, 10770]",en,246.798,8.2,18,False,"['Animation', 'Family', 'Comedy', 'Music', 'TV Movie']"
634649,Spider-Man: No Way Home,Spider-Man: No Way Home,2021-12-15,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.","[28, 12, 878]",en,290.652,8.0,20074,False,"['Action', 'Adventure', 'Science Fiction']"
1226578,Longlegs,Longlegs,2024-05-31,"FBI Agent Lee Harker is a gifted new recruit assigned to the unsolved case of an elusive serial killer. As the case takes complex turns, unearthing evidence of the occult, Harker discovers a personal connection to the merciless killer and must race against time to stop him before he claims the lives of another innocent family.","[27, 53]",en,252.604,6.667,1324,False,"['Horror', 'Thriller']"
